Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
500446,0.022528733,0.009179891,0.014179796,0.1548803,0.081101854,0.167551707,0,0,0.014128577,0,0.041135663,0.039198934,0.011414093,0,0,0.009837511,0,0.003533822,0.01821563,0,0,0.413113489,0,0.920376888,0.484214734
500665,0.052350216,0.004035534,0.019027211,0.110933067,0.089496952,0.177285452,0,0,0.0187903,0,0.088318211,0.016093099,0.080525569,0.016185201,0,0.003557196,0,0.000844955,0.009974676,0,0,0.312582361,0,0.89444222,0.552832254
502512,0.045746444,0.010315105,0.020008748,0.106377868,0.081937531,0.141165246,0,0,0.020611165,0,0.054202286,0.015673585,0.081933013,0,0,0.009390722,0,0.001007474,0.008169253,0,0,0.40346156,0,0.926946406,0.479047664
501785,0.035514559,0.012269853,0.01794913,0.11657138,0.001538447,0.102168956,0.002955172,0,0.043234149,0,0.041519993,0.045991657,0.046059203,0,0,0.010097306,0,0.000107878,0.029148457,0,0,0.494873859,0,0.908140777,0.471217505
502257,0.065684155,0.012778965,0.023896671,0.148790908,0.029936224,0.177304891,0,0,0.043444242,0,0.108055171,0.034892702,0.039662684,0,0,0.015308544,0,0,0.020477068,0,0,0.279767775,0,0.893794525,0.565295832
502449,0.114264388,0.003087172,0.022020968,0.186402745,0.033855083,0.170189643,0,0,0.014928664,0,0.037193235,0.059526769,0.024831885,0,0,0.013984581,0,0,0.020719385,0,0,0.298995483,0,0.902229475,0.553613979
503322,0.079889925,0,0.027733118,0.131478724,0.059850706,0.158287938,0.004645821,0,0.006780962,0,0.09895438,0.037691977,0.083480437,0.001072234,0,0.014485243,0,0.001180334,0.012805124,0,0,0.281663076,0,0.899571492,0.560833642
502942,0.13090893,0,0.04176691,0.126115994,0.032282273,0.259848303,0,0,0.016004438,0,0.044661932,0.003305402,0.04310023,0,0,0.007047427,0,0.003074763,0.010328154,0,0,0.281555245,0,0.898393436,0.561670755
503562,0.060759593,0,0.022798008,0.121673474,0.017206995,0.154444589,0,0,0.008512969,0,0.047630873,0.049255405,0.041307435,0,0,0.01098953,0,0.010233388,0.037443516,0,0,0.417744225,0,0.87161672,0.549496093
505106,0.044786267,0,0.015562784,0.118166381,0.031522195,0.086956942,0,0,0.0235797,0,0.022310631,0.034720578,0.022564987,0.008103486,0,0,0,0,0.010371828,0,0,0.581354222,0,0.931153126,0.398672276
505431,0.067736768,0.001208228,0.007877727,0.080697642,0.061639847,0.143694647,0,0,0.006693109,0,0.052484928,0.017289477,0.038539598,0,0,0.021444882,0,0.002122892,0.025999591,0,0,0.472570664,0,0.903333432,0.487156628
506254,0.068423261,0,0.022078215,0.094603372,0.078995351,0.158821518,0,0,0.006911534,0,0.02578511,0.028272693,0.028276521,0,0,0.010728492,0,0.003117884,0.010827142,0,0,0.463158904,0,0.933058346,0.448327033
506315,0.054263918,0.008551056,0.0235705,0.180646841,0.049932045,0.131490438,0,0,0.031062555,0,0.053766031,0.044318521,0.041309785,0,0,0.000240253,0,0.004818504,0.017331834,0,0,0.358697717,0,0.904073126,0.527743249
506539,0.073851922,0,0.019000461,0.099958237,0.137917377,0.158690206,0.017464294,0,0.00496804,0,0.077860625,0.017355778,0.067381956,0,0,0.005157129,0,0.002105271,0.010996744,0,0,0.30729196,0,0.902118306,0.549229863
506546,0.107583296,0.01612924,0.040186972,0.165635124,0.024544658,0.136378051,0,0,0.035743943,0,0.058024578,0.106290262,0.041106684,0,0,0.00845597,0,0.004774814,0.008240899,0,0,0.24690551,0,0.870064455,0.595432978
508635,0.06834864,0.017967126,0.018521459,0.111480514,0.058202914,0.202117013,0,0,0.018760167,0,0.035233988,0.022186128,0.029945397,0,0,0.003744573,0,0.000576549,0,0,0,0.412915534,0,0.905049345,0.505656176
506982,0.044529171,0.004084576,0.023802973,0.094647122,0.084915753,0.215010092,0,0,0.02816142,0,0.097643184,0.05263253,0.025735704,0,0,0.013445578,0,0.00382116,0.001791582,0,0,0.309779154,0,0.888663072,0.556497234
507401,0.030908811,0.010749716,0.016191458,0.131472122,0.064590681,0.146883479,1.72377931695373e-05,0,0,0,0.097709505,0.045824706,0,0,0,0.011333004,0,0.010366331,0.026879251,0,0,0.407073698,0,0.879037437,0.540552334
508935,0.072652945,0.007390866,0.022703145,0.126701847,0.050139236,0.167929769,0,0,0.010975238,0,0.004865661,0.042041327,0.080366789,0,0,0.022605938,0,0.002909448,0.023881318,0,0,0.364836473,0,0.923859051,0.507583238
508945,0.030580437,0.005678246,0.005417343,0.095454629,0.024692597,0.093737568,0,0,0.022104773,0,0.035713912,0.048477468,0,0,0,0,0,0.004824142,0,0.013478544,0,0.619840342,0,0.934475977,0.381027674
509597,0.053257225,0.007769308,0.016764992,0.115020494,0.046552521,0.129566369,0,0,0,0,0.08629769,0.044191621,0.083763448,0,0,0.022626685,0,0,0.036703282,0,0,0.357486364,0,0.924765737,0.507516825
509117,0.070237634,0.004998348,0.025079674,0.13866482,0.074580719,0.208652509,0,0,0.014557517,0,0.025202129,0.030770627,0.059580679,0,0,0.013351106,0,0,0.018530558,0,0,0.31579368,0,0.85725517,0.591268339
509217,0.025744215,0.015394226,0.016624509,0.101327285,0.044395153,0.144665701,0.016106225,0,0.012758506,0,0.039370129,0.021524143,0,0,0,0.007714181,0,0.002960005,0.030337562,0,0,0.521078161,0,0.918212888,0.44894254
512317,0.055252468,0.017214927,0.021719471,0.079733121,0,0.120635458,0,0,0.035738881,0,0.016993085,0.032855484,0.048179691,0,0,0.001342055,0,0.001060606,0.0193022,0,0,0.549972554,0,0.915791101,0.437749363
512981,0.09202995,0,0.016822599,0.11056779,0.05583082,0.163433039,0,0,0.018171041,0,0.019319014,0.044183912,0.063434941,0,0,0.010868591,0,0.001645713,0.013101724,0,0,0.390590864,0,0.905845659,0.515985726
513128,0.108631899,0,0.024753454,0.11001957,0.085699188,0.164467518,0,0,0.031255611,0,0.013993403,0.030946218,0.057028108,0.013905169,0,0.016315674,0,0,0.022304873,0,0,0.320679316,0,0.902185161,0.551689992
512307,0.090515312,0,0.02694367,0.14976877,0.066969218,0.209550169,0,0,0.004145248,0,0.008408396,0.059996928,0.066423331,0,0,0.004545278,0,0,0.02264079,0,0,0.290092889,0,0.889805412,0.568124179
512974,0.049183822,0,0.017429973,0.077288755,0.04603111,0.124989877,0,0,0.020746956,0,0.06938787,0.011127075,0.076962869,0.000836812,0,0,0,0.001492222,0.011226335,0,0,0.493296324,0,0.939683107,0.415765707
