"","Barcode","Extraction","Library","Sequencing"
"100002",100002,"3","1",1
"100011",100011,"81","21",0
"100042",100042,"31","8",2
"100071",100071,"46","12",3
"100074",100074,"55","12",3
"100080",100080,"76","21",0
"100084",100084,"81","21",0
"100093",100093,"43","11",3
"100096",100096,"70","18",0
"100128",100128,"72","19",0
"100163",100163,"71","18",0
"100183",100183,"67","18",0
"100186",100186,"38","10",3
"100192",100192,"82","21",0
"100203",100203,"3","1",1
"100269",100269,"6","2",1
"100272",100272,"70","18",0
"100314",100314,"68","18",0
"100317",100317,"20","5",2
"100325",100325,"78","19",0
"100330",100330,"80","20",0
"100383",100383,"76","21",0
"100406",100406,"67","18",0
"100421",100421,"1","1",1
"100435",100435,"67","18",0
"100472",100472,"77","21",0
"100514",100514,"41","11",3
"100536",100536,"72","19",0
"100561",100561,"71","18",0
"100591",100591,"41","11",3
"100623",100623,"68","18",0
"100635",100635,"3","1",1
"100642",100642,"69","19",0
"100684",100684,"14","4",1
"100733",100733,"51","13",4
"100780",100780,"4","1",1
"100855",100855,"25","7",2
"100896",100896,"23","6",2
"100899",100899,"44","11",3
"100908",100908,"29","8",2
"100911",100911,"13","4",1
"100933",100933,"51","13",4
"100996",100996,"34","9",3
"101018",101018,"28","7",2
"101021",101021,"70","18",0
"101094",101094,"69","19",0
"101241",101241,"42","11",3
"101292",101292,"18","5",2
"101295",101295,"50","13",4
"101299",101299,"17","5",2
"101306",101306,"10","3",1
"101349",101349,"70","18",0
"101352",101352,"22","6",2
"101528",101528,"12","3",1
"101672",101672,"5","2",1
"101678",101678,"16","4",1
"101681",101681,"25","7",2
"101745",101745,"17","5",2
"101755",101755,"68","18",0
"101858",101858,"21","6",2
"101906",101906,"14","4",1
"102010",102010,"67","18",0
"102013",102013,"46","12",3
"102051",102051,"39","10",3
"102087",102087,"50","13",4
"102113",102113,"69","19",0
"102193",102193,"15","4",1
"102251",102251,"30","8",2
"102434",102434,"27","7",2
"102437",102437,"69","19",0
"102601",102601,"51","13",4
"102610",102610,"71","18",0
"102699",102699,"79","14",4
"102702",102702,"42","11",3
"102711",102711,"77","21",0
"102781",102781,"18","5",2
"102825",102825,"74","20",0
"102828",102828,"2","1",1
"102943",102943,"55","12",3
"102990",102990,"19","5",2
"103031",103031,"24","6",2
"103264",103264,"71","18",0
"103327",103327,"67","18",0
"103370",103370,"50","13",4
"103376",103376,"25","7",2
"103599",103599,"77","21",0
"103605",103605,"50","13",4
"103608",103608,"12","3",1
"103611",103611,"51","13",4
"103698",103698,"25","7",2
"104048",104048,"79","20",0
"104051",104051,"45","12",3
"104346",104346,"71","18",0
"104902",104902,"68","18",0
"105228",105228,"29","8",2
"105335",105335,"74","20",0
"105400",105400,"75","20",0
"107584",107584,"67","18",0
"107831",107831,"68","18",0
"108680",108680,"5","14",4
"108683",108683,"72","19",0
"108865",108865,"71","14",4
"109398",109398,"17","5",2
"109401",109401,"9","3",1
"109522",109522,"9","3",1
"109525",109525,"14","4",1
"109528",109528,"28","7",2
"109740",109740,"27","7",2
"109864",109864,"25","7",2
"110152",110152,"39","10",3
"110155",110155,"14","4",1
"110374",110374,"71","18",0
"110513",110513,"45","12",3
"110740",110740,"67","18",0
"111101",111101,"26","7",2
"111430",111430,"48","12",3
"111433",111433,"75","20",0
"111436",111436,"10","3",1
"111481",111481,"31","8",2
"112485",112485,"71","18",0
"112488",112488,"1","1",1
"112944",112944,"79","14",4
"113084",113084,"8","2",1
"113326",113326,"17","5",2
"113329",113329,"36","9",3
"113642",113642,"19","5",2
"113749",113749,"6","2",1
"114117",114117,"70","18",0
"114242",114242,"55","12",3
"114348",114348,"78","19",0
"114433",114433,"39","10",3
"114541",114541,"31","8",2
"114845",114845,"40","10",3
"114872",114872,"38","10",3
"115228",115228,"72","19",0
"115401",115401,"70","18",0
"115520",115520,"80","20",0
